"neg.compound.name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X196.9134.0.3448334",-1.16658707142857,0.729331171428571,-3.20569719269777,0.0053052323895179,0.955096448211289,-4.31053976027077
"IPSP",1.19080535,-0.926758682142857,2.83107941486324,0.0117183279797933,0.955096448211289,-4.36125609659445
"X4.Carboxy.4..sulfoazobenzene",-3.72773937785714,0.318532601071429,-2.75362646311563,0.0137746981588644,0.955096448211289,-4.37199920541811
"X6.Hydroxyluteolin.6.sulfate",1.09368714285714,0.585827303571429,2.68340906499363,0.0159359916042349,0.955096448211289,-4.38179401667968
"X142.167.0.49580964",-1.73847311357143,-2.98269208303571,-2.67581037993576,0.0161885101967091,0.955096448211289,-4.38285672146806
"SC.560",-1.01738053571429,-0.455753539285715,-2.61289059698525,0.0184318169824901,0.955096448211289,-4.39167393027159
"X1.3.Glyceryl.dinitrate",-0.684886357142857,0.330678660714286,-2.57611017280133,0.0198775724427901,0.955096448211289,-4.39684075736884
"C8.H11.Cl.N2.O3.S2",0.678783221428571,-1.09487609107143,2.53209496051416,0.0217497361758757,0.955096448211289,-4.40303354349756
"X142.1268.0.49654764",-0.739020612428571,0.728881246857143,-2.51063269674948,0.0227222381229538,0.955096448211289,-4.40605624960916
"Hydroxymethylphosphonate",-4.72024678357143,0.723038043571432,-2.50638924828436,0.0229193376992584,0.955096448211289,-4.40665408365378
"X1.2.Glyceryl.dinitrate",1.12341787857143,1.26848293928571,2.48091807415243,0.0241368770106804,0.955096448211289,-4.41024369825988
"X2.Chloro.1.1.1.trifluoroethane",-4.05581768714286,3.41012375160714,-2.43580070816158,0.0264449502685312,0.955096448211289,-4.416605432127
"D.Tagatose",-1.03973311428571,0.862629124999999,-2.4036577738847,0.0282145424263231,0.955096448211289,-4.42113888906883
"X95.9326.0.51183337",-1.19357293285714,0.797565500535713,-2.40013772292403,0.0284149620047529,0.955096448211289,-4.42163535766775
"X93.9358.0.5122619",-1.33037837071429,-0.276393258214287,-2.39777176350752,0.0285504226444182,0.955096448211289,-4.42196904963489
"N..Carboxymethyl..D.alanine",-1.70790450571429,0.677934566964284,-2.38581830345383,0.0292441304742035,0.955096448211289,-4.4236548907148
"C3.H6.O3",0.618222552142857,1.21410696892857,2.33534070279161,0.0323515914619178,0.955096448211289,-4.43077155993778
"Uric.acid",0.634700885714286,-0.304070848214285,2.31111597320549,0.0339501663870087,0.955096448211289,-4.4341845673803
"N.Hydroxy.L.phenylalanine",0.867678671428571,2.49222075357143,2.30909155646342,0.0340870409986135,0.955096448211289,-4.43446969075838
"Trolamine",-0.852326435714286,-2.05123884464286,-2.270189665239,0.0368192317814048,0.955096448211289,-4.43994517660409
"L.Adrenaline",-0.851365006428571,0.2306751825,-2.2648618770634,0.0372088898612871,0.955096448211289,-4.44069447170591
"Phe.Gly",0.670350785714286,0.165364992857144,2.24874816938306,0.0384108252827175,0.955096448211289,-4.4429596719987
"C16.H7.Cl.O7",-0.734481814285714,-1.29136573392857,-2.24202487457657,0.0389228903023261,0.955096448211289,-4.44390432455951
"Oxdemetonmethyl",-2.84213803214286,-4.56227433598214,-2.21953379673169,0.040682200315122,0.955096448211289,-4.44706215544999
"Halogenated.Sesquiterpene",-5.35652162228571,-0.104664643517856,-2.20649772175973,0.0417353030654362,0.955096448211289,-4.44889073618411
"Inosine.diphosphate..IDP.",0.832505385714286,0.2698929125,2.20188234431661,0.042114147819088,0.955096448211289,-4.44953781114264
"His.Cys",0.48439405,1.44145393928571,2.19496450382537,0.0426879349528735,0.955096448211289,-4.45050735607874
"C9.H23.Cl3.N6.O3.S4",-0.556187828571429,-0.974671076785714,-2.18004201706589,0.0439502886923612,0.955096448211289,-4.45259733393434
"Granisetron",0.549137378571428,-0.0428833160714288,2.17521072732995,0.0443663013057877,0.955096448211289,-4.45327354632306
"C19.H19.Cl.N4.O3.S5",-0.825421254285714,1.28441808160714,-2.17477474273617,0.0444040208930047,0.955096448211289,-4.45333455814539
"Diethyl..2R.3R..2.methyl.3.hydroxysuccinate",-0.563140164285714,-0.524033080357143,-2.1743069266598,0.0444445272470443,0.955096448211289,-4.45340002246135
"C10.H20.N6.O",-1.14133945428571,-1.67666365785714,-2.17131028948008,0.044704802199394,0.955096448211289,-4.45381931016856
"Neamine..Neomycin.A.",-0.818284092142857,0.72539424375,-2.16127455774187,0.0455867114290487,0.955096448211289,-4.45522286429752
"IDFP",-0.704615364285714,-1.44005138392857,-2.14973680731472,0.0466203649265021,0.955096448211289,-4.45683522261275
"Arabinosylhypoxanthine",0.56703268,-0.0159332285714287,2.14754513872404,0.0468191306818576,0.955096448211289,-4.45714134250999
"PS.22.1.11Z..0.0.",0.5734469,2.20048076964286,2.14435526231163,0.0471098160337098,0.955096448211289,-4.45758679431017
"X1..3..4..p.menthane.3.8.diol",-12.0269598014286,6.62443775607144,-2.14180826629678,0.0473431057459606,0.955096448211289,-4.45794239149916
"C26.H57.N3.O3.S3",-0.573376164285714,-0.927500621428572,-2.14117996772003,0.0474008169497789,0.955096448211289,-4.45803010007809
"Asn.Val.Ile",-0.552739414285714,-0.8295178,-2.14022995778624,0.0474882009545939,0.955096448211289,-4.45816271033741
"X3.Mercaptolactate",-0.551747685714286,-0.81644365,-2.13748411485249,0.0477416012148627,0.955096448211289,-4.45854594168066
"Fortimicin.AP",-0.55144405,-0.953738828571429,-2.1371436071005,0.0477731112829093,0.955096448211289,-4.45859345976107
